D:\Veilpay\apps\consumer-app\src\components\payment\PaymentDetailsCard.tsx: line 11, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentDetailsCard.tsx: line 16, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentDetailsCard.tsx: line 21, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentDetailsCard.tsx: line 82, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentFeeBreakdown.tsx: line 14, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentFeeBreakdown.tsx: line 44, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentGasWarning.tsx: line 12, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentGasWarning.tsx: line 36, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentNetworkNotice.tsx: line 8, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentNetworkNotice.tsx: line 13, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentNetworkNotice.tsx: line 58, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentStatusCard.tsx: line 17, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentStatusCard.tsx: line 22, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentStatusCard.tsx: line 28, col 28, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
